,ambient_frac,tissue_frac,ratio_ambient_over_tissue
MT-CO1,0.015627382,0.015670557,0.9972449
MT-CO3,0.013861803,0.012933848,1.0717462
MT-CYB,0.009413747,0.009407511,1.0006629
MT-ATP6,0.008286185,0.007844725,1.0562748
MT-ND4,0.0068175434,0.007060713,0.9655602
MT-CO2,0.0063179648,0.00592114,1.0670184
CD9,0.0061694956,0.006879804,0.89675456
ERBB2,0.005661892,0.005895113,0.9604382
WFDC2,0.005092091,0.0053319973,0.9550063
MT-ND2,0.0038180652,0.0034817532,1.0965927
MT-ND3,0.0036354882,0.003375678,1.0769653
MT-ND4L,0.0034769874,0.0032617364,1.0659927
GRB7,0.003328518,0.0034105282,0.9759538
ACTB,0.003268328,0.003577857,0.9134876
CLU,0.0023775129,0.0026465007,0.89836097
MYL6,0.0023393924,0.0024528292,0.9537527
MDK,0.0022992657,0.0021434734,1.0726821
TMSB10,0.002194936,0.0023383675,0.93866163
STARD3,0.0021026444,0.0021465174,0.97956085
COL1A2,0.0020605111,0.002087856,0.98690295
SPON1,0.0020544922,0.00219352,0.93661886
IFI27,0.0019381244,0.0018351546,1.0561097
IGFBP2,0.0018458328,0.001957772,0.9428231
MUC16,0.001787649,0.0019721964,0.9064255
PRDX2,0.0017354841,0.0016911209,1.026233
SLC44A2,0.0017354841,0.001788751,0.97022116
PGAP3,0.0017254525,0.0019607416,0.87999994
SPARC,0.0017013764,0.0018302526,0.9295856
SPINT2,0.0016652623,0.0021192767,0.78576916
EPCAM,0.0016331607,0.0016583595,0.984805
