,fibroblast_in_epithelial,fibroblast_in_epithelial,epithelial_in_fibroblast,epithelial_in_fibroblast
,mean,count,mean,count
bin,,,,
"(0, 8]",0.32477218,2308,0.34691876,1999.0
"(8, 16]",0.29602143,15838,0.31821734,9549.0
"(16, 24]",0.20693319,16508,0.22361399,4924.0
"(24, 32]",0.16045706,17220,0.16489744,3066.0
"(32, 48]",0.1321997,30841,0.112002134,3146.0
"(48, 64]",0.1128476,24152,0.06936623,1383.0
"(64, 96]",0.100633875,28718,0.04258089,1063.0
"(96, 128]",0.09028105,11792,0.03042529,316.0
"(128, 200]",0.083767,6505,0.04715907,76.0
"(200, 400]",0.07726493,487,0.2,2.0
"(400, 2000]",0.029519394,14,,
