,SR,SR,bin2cell,bin2cell
,mean,count,mean,count
bin,,,,
"(0, 8]",0.32477218,2308,0.2687381131375369,4205
"(8, 16]",0.29602143,15838,0.2565326330418811,17530
"(16, 24]",0.20693319,16508,0.18679419191520324,19748
"(24, 32]",0.16045706,17220,0.15136505032537145,20457
"(32, 48]",0.1321997,30841,0.12631369074366053,34183
"(48, 64]",0.1128476,24152,0.10839777616561666,24883
"(64, 96]",0.100633875,28718,0.09709937259263679,27927
"(96, 128]",0.09028105,11792,0.08571253924380469,9863
"(128, 200]",0.083767,6505,0.08482093011239196,4313
"(200, 400]",0.07726493,487,0.08484213320651844,394
"(400, 2000]",0.029519394,14,0.03788478153473464,10
