,dx-6,dx-5,dx-4,dx-3,dx-2,dx-1,dx+0,dx+1,dx+2,dx+3,dx+4,dx+5,dx+6
dy-6,0.02353882521514397,0.024027982273575946,0.024491062215977643,0.024915619737328445,0.02523447337694648,0.025420470035082507,0.02543056217949648,0.025256470015708535,0.02489769132117196,0.024393290498717506,0.02386103313390331,0.023359473755195797,0.022910861849320216
dy-5,0.023840091754901687,0.02446932101419459,0.025137266025184426,0.02580617157384599,0.026367787576878177,0.026726701528655483,0.02679685070247567,0.026546078137759926,0.02600384893822624,0.025264323712544726,0.02450750584714549,0.023827968847430988,0.02325478473503335
dy-4,0.02412193497945506,0.024933276957505576,0.02589221662908282,0.02694715229605431,0.027930340970270733,0.028626404631589875,0.028834325548597033,0.028443601387970297,0.027560847291369414,0.026425665156705375,0.025313857660458534,0.024358036085709456,0.02358482838835095
dy-3,0.02435148697641139,0.025373667318097214,0.026709368966374974,0.02832127754011139,0.02998837301448504,0.031300812223532044,0.031767830652949344,0.031128564596664726,0.029654144983627895,0.027883474292302268,0.026253909089937508,0.024926223181568206,0.023917460547255746
dy-2,0.0245258023158639,0.025757612290197105,0.02750265609947006,0.029804858033653018,0.03245103657830561,0.03477295971945688,0.03570458761948412,0.034617256806709316,0.03218199438625489,0.02949734571362601,0.027206530253346947,0.025470474459513157,0.024234114774377646
dy-1,0.0246116302447818,0.026000074174366675,0.028068833881374624,0.031002782368828072,0.03468816754436864,0.03831441731282569,0.039944455693316845,0.03821751934021019,0.034550892212674114,0.030877337542152567,0.02796431681843176,0.025876102272696006,0.02446450493293208
dy+0,0.024563408425753636,0.026013115497396124,0.028193843108807085,0.031356109808684245,0.035482216271126944,0.03980240922896749,0.041885569622487406,0.03985635349548489,0.03558150774394801,0.03145792769060172,0.028276975145084277,0.026042390277789883,0.02457456935772968
dy+1,0.024371742360934964,0.02574848288228343,0.027764454564102477,0.030604437701398465,0.034216392174023315,0.037863800462149245,0.03961577731548376,0.038066698924171256,0.03452237767529669,0.030893937032567726,0.02798801580078851,0.02590826948080425,0.02453185965671838
dy+2,0.024078287531586366,0.02525891710183334,0.026897790231911977,0.029083794510341845,0.03169535178046256,0.03411600054606825,0.03523475692222187,0.034370733269881805,0.03211158203492896,0.029519591400226555,0.027262293395340243,0.025541032766983624,0.024339288648063086
dy+3,0.023733229108907693,0.02467426653833073,0.02590116047858904,0.0274181387984533,0.029105885650023307,0.03057831049170022,0.03126630580124758,0.03084905361127824,0.029564870448956847,0.02791801575735851,0.026344914613123938,0.02504543067743548,0.024049244771823016
dy+4,0.023384949565025268,0.024107238012979437,0.024988417379250494,0.025992465037794635,0.027039385778757696,0.027923223841512478,0.02836493709531941,0.02819803349888296,0.027499579976155875,0.026497547987135325,0.025456041920866285,0.024516733454365155,0.023726258702231162
dy+5,0.023047515587706232,0.023586646130959423,0.02420731034160746,0.024878390065211243,0.02554595848851221,0.02609349675533433,0.026403155700380234,0.026370658605181913,0.02600405713985754,0.02540134165077838,0.024711424990122393,0.02403848253674575,0.023425789412920405
dy+6,0.022727674422327038,0.02312479990458505,0.02356231263884535,0.024036250606462247,0.02450436057990604,0.02487781291591706,0.025101083534945782,0.025130299674784615,0.02494847637579838,0.02458612264606021,0.02412572686644325,0.023636798028376937,0.02314814834448121
