interaction,ligand,receptor,ligand_means,ligand_props,receptor_means,receptor_props,morans,morans_pvals,mean,std
SPARC^ENG,SPARC,ENG,1.5279254,0.8248,0.16600344,0.15085,0.19934332,0.0,0.3986468,1.3295145
MDK^TSPAN1,MDK,TSPAN1,1.817091,0.9025166666666666,0.5164864,0.5108166666666667,0.10286998,0.0,0.20576148,0.7610027
LAMA5^BCAM,LAMA5,BCAM,1.1172456,0.7873833333333333,1.147443,0.7900333333333334,0.08499317,0.0,0.16998903,0.77753687
FN1^SDC2,FN1,SDC2,0.07095254,0.06281666666666667,0.050996896,0.060033333333333334,0.07457783,0.0,0.14692698,1.3498756
FN1^ITGA9,FN1,ITGA9,0.07095254,0.06281666666666667,0.07305029,0.08248333333333334,0.07321015,0.0,0.14580058,1.3178421
MDK^SDC4,MDK,SDC4,1.817091,0.9025166666666666,0.3713106,0.41308333333333336,0.07281752,0.0,0.14563556,0.6847072
SPINT1^ST14,SPINT1,ST14,0.6014446,0.5793,0.46230495,0.49095,0.06252467,0.0,0.124993324,0.5106741
VIM^CD44,VIM,CD44,0.56064516,0.40418333333333334,0.07574416,0.09123333333333333,0.05978797,0.0,0.1190232,1.0867245
SPP1^CD44,SPP1,CD44,0.18203336,0.19868333333333332,0.07574416,0.09123333333333333,0.057625502,0.0,0.115234494,1.3906181
VWF^ITGA9,VWF,ITGA9,0.15114576,0.15673333333333334,0.07305029,0.08248333333333334,0.054340225,0.0,0.108571716,0.9190686
COL6A2^CD44,COL6A2,CD44,0.43912205,0.36925,0.07574416,0.09123333333333333,0.053661637,0.0,0.10694781,0.89618325
SEMA4D^ERBB2,SEMA4D,ERBB2,0.17236234,0.22823333333333334,2.8274267,0.9592333333333334,0.053328402,0.0,0.106684275,0.69443053
FN1^CD44,FN1,CD44,0.07095254,0.06281666666666667,0.07574416,0.09123333333333333,0.052704412,0.0,0.105030365,1.0853158
MDK^SORL1,MDK,SORL1,1.817091,0.9025166666666666,0.44545558,0.4734333333333333,0.05168682,0.0,0.10336127,0.71904176
APOA1^LDLR,APOA1,LDLR,0.5310762,0.5053666666666666,0.37404573,0.39968333333333333,0.05133884,0.0,0.10265475,0.68854946
CCN2^LRP1,CCN2,LRP1,0.6555796,0.48738333333333334,0.30070972,0.34318333333333334,0.050589327,0.0,0.10115635,0.9449182
S100A4^ERBB2,S100A4,ERBB2,0.35689667,0.3834666666666667,2.8274267,0.9592333333333334,0.04869344,0.0,0.09736037,0.85790944
S100A9^CD68,S100A9,CD68,0.13434787,0.11655,0.0625658,0.06783333333333333,0.047401614,0.0,0.094885096,1.1483173
COL1A1^CD44,COL1A1,CD44,0.8601111,0.4845333333333333,0.07574416,0.09123333333333333,0.046594266,0.0,0.09252999,1.0764289
WNT5A^ANTXR1,WNT5A,ANTXR1,0.04661613,0.05591666666666667,0.20269054,0.24325,0.04231316,0.0,0.084123,0.8216075
COL6A3^CD44,COL6A3,CD44,0.39986977,0.2552333333333333,0.07574416,0.09123333333333333,0.040400445,0.0,0.08037855,1.0652498
ETV5^ERBB2,ETV5,ERBB2,0.13719693,0.18216666666666667,2.8274267,0.9592333333333334,0.039810747,0.0,0.07976214,0.7471525
COL6A1^CD44,COL6A1,CD44,0.69208837,0.5754333333333334,0.07574416,0.09123333333333333,0.03624639,0.0,0.072233684,0.8155777
A2M^LRP1,A2M,LRP1,0.2328625,0.21128333333333332,0.30070972,0.34318333333333334,0.035658196,0.0,0.07132573,0.7298194
WNT11^FZD10,WNT11,FZD10,0.1360618,0.1703,0.09426845,0.13018333333333335,0.035095513,0.0,0.0702405,0.61986136
EFNB1^ERBB2,EFNB1,ERBB2,0.14746608,0.19625,2.8274267,0.9592333333333334,0.034887873,0.0,0.06980122,0.7336893
PSEN1^NOTCH3,PSEN1,NOTCH3,0.24068008,0.30243333333333333,1.1864551,0.8062166666666667,0.034630388,0.0,0.069266535,0.50153214
CDH1^PTPRF,CDH1,PTPRF,0.20450613,0.26721666666666666,0.7734785,0.6686,0.034417387,0.0,0.06885231,0.44809243
MDK^NOTCH2,MDK,NOTCH2,1.817091,0.9025166666666666,0.17976236,0.23445,0.033574156,0.0,0.06713703,0.58908767
COL4A1^CD44,COL4A1,CD44,0.39930317,0.32116666666666666,0.07574416,0.09123333333333333,0.032589246,0.0,0.06494187,0.8523714
HSPA8^LDLR,HSPA8,LDLR,0.8209276,0.69085,0.37404573,0.39968333333333333,0.032290466,0.0,0.064559884,0.53178996
CXCL12^SDC4,CXCL12,SDC4,0.08748657,0.10945,0.3713106,0.41308333333333336,0.031983465,0.0,0.06426928,0.605346
L1CAM^ERBB2,L1CAM,ERBB2,0.07641579,0.10673333333333333,2.8274267,0.9592333333333334,0.031204414,0.0,0.063135274,0.5890387
APOE^SDC2,APOE,SDC2,0.8531935,0.6709666666666667,0.050996896,0.060033333333333334,0.030991828,0.0,0.061855815,0.78176254
C1QB^LRP1,C1QB,LRP1,0.06940659,0.06961666666666666,0.30070972,0.34318333333333334,0.030932926,0.0,0.06202799,0.71437126
SPON1^LRP8,SPON1,LRP8,1.834277,0.8935833333333333,0.097259626,0.13536666666666666,0.030775608,0.0,0.061874203,0.6358289
APP^LRP1,APP,LRP1,0.79693526,0.6800833333333334,0.30070972,0.34318333333333334,0.029900886,0.0,0.059796397,0.5071157
APOE^LRP1,APOE,LRP1,0.8531935,0.6709666666666667,0.30070972,0.34318333333333334,0.029833535,0.0,0.059671294,0.63146114
LAMB1^CD44,LAMB1,CD44,0.114201464,0.11055,0.07574416,0.09123333333333333,0.029387154,0.0,0.05846699,0.79392517
TGM2^SDC4,TGM2,SDC4,0.20695424,0.2518,0.3713106,0.41308333333333336,0.028996758,0.0,0.057993792,0.5533275
MIF^CD74_CXCR4,MIF,CD74_CXCR4,0.64815784,0.5967833333333333,0.37951812,0.427,0.028646512,0.0,0.057280306,0.59653467
BMP7^PTPRK,BMP7,PTPRK,0.3308056,0.38325,0.3996548,0.44416666666666665,0.028057612,0.0,0.056119714,0.4664946
WNT5A^MCAM,WNT5A,MCAM,0.04661613,0.05591666666666667,0.09970128,0.12481666666666667,0.028047817,0.0,0.055677734,0.7222023
MDK^SDC1,MDK,SDC1,1.817091,0.9025166666666666,0.072289936,0.10475,0.02765047,0.0,0.055734146,0.5494639
CCN2^EGFR,CCN2,EGFR,0.6555796,0.48738333333333334,0.10819267,0.14703333333333332,0.027254652,0.0,0.054347266,0.8771788
VWF^LRP1,VWF,LRP1,0.15114576,0.15673333333333334,0.30070972,0.34318333333333334,0.026709162,0.0,0.053420134,0.63514996
LAMC1^DAG1,LAMC1,DAG1,0.8374309,0.6937666666666666,0.28329813,0.34446666666666664,0.02616535,0.0,0.052314475,0.48210737
VWF^ITGB1,VWF,ITGB1,0.15114576,0.15673333333333334,0.17783748,0.22815,0.024778739,0.0,0.049551077,0.6253963
TGFA^ERBB3,TGFA,ERBB3,0.053354,0.07851666666666667,0.67373854,0.6106666666666667,0.024719954,0.0,0.04942907,0.45010072
APOA1^ABCA1,APOA1,ABCA1,0.5310762,0.5053666666666666,0.13524368,0.17878333333333332,0.02432648,0.0,0.048626702,0.6137163
TNFSF13^TNFRSF1A,TNFSF13,TNFRSF1A,0.13263714,0.17958333333333334,1.0217289,0.7637333333333334,0.02411373,0.0,0.048272006,0.45829883
GRN^TNFRSF1A,GRN,TNFRSF1A,0.29538792,0.34503333333333336,1.0217289,0.7637333333333334,0.023986313,0.0,0.047973804,0.5025931
APOE^ABCA1,APOE,ABCA1,0.8531935,0.6709666666666667,0.13524368,0.17878333333333332,0.023546128,0.0,0.047069628,0.62387955
COL18A1^PTPRS,COL18A1,PTPRS,1.1007198,0.7915166666666666,0.36837253,0.4196166666666667,0.023013847,0.0,0.046025,0.47967005
GDF11^BMPR1B,GDF11,BMPR1B,0.34140033,0.39125,0.12273839,0.16696666666666668,0.022907168,0.0,0.045849912,0.43175673
FN1^PLAUR,FN1,PLAUR,0.07095254,0.06281666666666667,0.050655294,0.06403333333333333,0.022492543,0.0,0.044226687,0.84733826
APP^TNFRSF21,APP,TNFRSF21,0.79693526,0.6800833333333334,0.13852842,0.17696666666666666,0.022279156,0.0,0.044558734,0.45924538
SEMA4B^DCBLD2,SEMA4B,DCBLD2,0.27999863,0.34076666666666666,0.5646161,0.56045,0.021932643,0.0,0.043855056,0.43227145
ARF6^SMAP1,ARF6,SMAP1,0.57225287,0.5644,0.15491596,0.21,0.02149925,0.0,0.043018967,0.4072627
SCGB3A1^NOTCH3,SCGB3A1,NOTCH3,0.046783485,0.06548333333333334,1.1864551,0.8062166666666667,0.021347279,0.0,0.043401066,0.47736427
SPON2^ITGB1,SPON2,ITGB1,0.056351695,0.06001666666666667,0.17783748,0.22815,0.021189077,0.0,0.042618986,0.65456307
GDF11^BMPR1A,GDF11,BMPR1A,0.34140033,0.39125,0.19152679,0.25043333333333334,0.021173432,0.0,0.042319555,0.4315389
LAMA4^CD44,LAMA4,CD44,0.07981803,0.07368333333333334,0.07574416,0.09123333333333333,0.02101532,0.0,0.041780997,0.7646997
AFDN^EPHB6,AFDN,EPHB6,0.33604774,0.3909666666666667,0.28175825,0.3389666666666667,0.020867124,0.0,0.041745916,0.41130483
WNT7A^LDLR,WNT7A,LDLR,0.05768167,0.08286666666666667,0.37404573,0.39968333333333333,0.020834308,0.0,0.04205436,0.5299973
BMP7^ACVR1B,BMP7,ACVR1B,0.3308056,0.38325,0.17914683,0.23633333333333334,0.02064965,0.0,0.04131437,0.44276625
SLPI^PLSCR1,SLPI,PLSCR1,0.9724504,0.68805,0.20385216,0.24848333333333333,0.020619622,0.0,0.041243296,0.76384753
BMP7^BMPR1A_BMPR2,BMP7,BMPR1A_BMPR2,0.3308056,0.38325,0.055526096,0.09923333333333334,0.020152159,0.0,0.04033789,0.41946322
SPON1^APP,SPON1,APP,1.834277,0.8935833333333333,0.79693526,0.6800833333333334,0.02009663,0.0,0.0401874,0.8749532
VEGFA^EGFR,VEGFA,EGFR,0.32484362,0.36878333333333335,0.10819267,0.14703333333333332,0.020024914,0.0,0.040114112,0.59257907
LGALS1^ITGB1,LGALS1,ITGB1,0.45017284,0.4426833333333333,0.17783748,0.22815,0.019987922,0.0,0.03998092,0.552708
FAM3C^CLEC2D,FAM3C,CLEC2D,0.6185579,0.58585,0.27363393,0.32998333333333335,0.019700065,0.0,0.03940215,0.45560822
LRPAP1^LDLR,LRPAP1,LDLR,0.5339284,0.53845,0.37404573,0.39968333333333333,0.01955117,0.0,0.039097544,0.5153676
FBN1^ITGB1,FBN1,ITGB1,0.05550488,0.058116666666666664,0.17783748,0.22815,0.019149458,0.0,0.03847617,0.5650387
L1CAM^FGFR2,L1CAM,FGFR2,0.07641579,0.10673333333333333,0.13725807,0.18206666666666665,0.018790523,0.0,0.037726738,0.46040785
PSAP^LRP1,PSAP,LRP1,0.99639356,0.75465,0.30070972,0.34318333333333334,0.018588243,0.0,0.037176274,0.5067273
EFNA1^EPHB6,EFNA1,EPHB6,0.16912669,0.21776666666666666,0.28175825,0.3389666666666667,0.018407796,0.0,0.036829554,0.42908183
TCTN1^TMEM67,TCTN1,TMEM67,0.2537382,0.31425,0.07452233,0.10581666666666667,0.01765633,0.0,0.035414767,0.40733328
LRPAP1^SORT1,LRPAP1,SORT1,0.5339284,0.53845,0.39675283,0.4414666666666667,0.017628705,0.0,0.03525862,0.46835116
WNT7A^FZD5_LRP6,WNT7A,FZD5_LRP6,0.05768167,0.08286666666666667,0.09441903,0.1522,0.017543724,0.0,0.035350773,0.46807912
LRPAP1^SORL1,LRPAP1,SORL1,0.5339284,0.53845,0.44545558,0.4734333333333333,0.017374555,0.0,0.03474809,0.49393082
COL4A2^CD44,COL4A2,CD44,0.5233991,0.47276666666666667,0.07574416,0.09123333333333333,0.01691699,0.0,0.033750217,0.7465795
PLAT^LRP1,PLAT,LRP1,0.12385936,0.15618333333333334,0.30070972,0.34318333333333334,0.016845282,0.0,0.033619773,0.5633368
SEMA4D^PLXNB1,SEMA4D,PLXNB1,0.17236234,0.22823333333333334,0.3301161,0.38408333333333333,0.016389266,0.0,0.032786645,0.40078458
LAMB3^CD151,LAMB3,CD151,0.13251689,0.17856666666666668,0.6890722,0.6325,0.01636477,0.0,0.032764997,0.41846737
PLTP^ABCA1,PLTP,ABCA1,0.46289372,0.47881666666666667,0.13524368,0.17878333333333332,0.016272722,0.0,0.032524396,0.46558565
LAMA1^SDC2,LAMA1,SDC2,0.087166004,0.1176,0.050996896,0.060033333333333334,0.016205024,0.0,0.03262839,0.62264794
PRSS1^PARD3,PRSS1,PARD3,0.15692203,0.20961666666666667,0.341336,0.39823333333333333,0.016109616,0.0,0.032202348,0.40279666
APP^CD74,APP,CD74,0.79693526,0.6800833333333334,1.0023346,0.70795,0.01598114,0.0,0.031958994,0.7088381
MDK^GPC2,MDK,GPC2,1.817091,0.9025166666666666,0.10012428,0.13608333333333333,0.015894257,0.0,0.03208853,0.5898625
FBLN1^ITGB1,FBLN1,ITGB1,0.63396364,0.5753166666666667,0.17783748,0.22815,0.015812948,0.0,0.03163532,0.57033205
LAMA5^DAG1,LAMA5,DAG1,1.1172456,0.7873833333333333,0.28329813,0.34446666666666664,0.01573896,0.0,0.03146748,0.5219078
BMP7^BMPR1B_BMPR2,BMP7,BMPR1B_BMPR2,0.3308056,0.38325,0.036339063,0.06643333333333333,0.015729439,0.0,0.03148395,0.41617915
ANGPTL4^SDC2,ANGPTL4,SDC2,0.09024855,0.11638333333333334,0.050996896,0.060033333333333334,0.015690414,0.0,0.031478375,0.6116063
VEGFA^GPC1,VEGFA,GPC1,0.32484362,0.36878333333333335,0.18997273,0.24468333333333334,0.015668057,0.0,0.031335138,0.52011544
L1CAM^ERBB3,L1CAM,ERBB3,0.07641579,0.10673333333333333,0.67373854,0.6106666666666667,0.01565561,0.0,0.03169754,0.5123312
PSEN1^NCSTN,PSEN1,NCSTN,0.24068008,0.30243333333333333,0.29082224,0.35151666666666664,0.0153584005,0.0,0.030718857,0.38398114
FAM3C^LAMP1,FAM3C,LAMP1,0.6185579,0.58585,0.46342602,0.49118333333333336,0.015104953,0.0,0.030206474,0.46811587
VEGFA^EPHB2,VEGFA,EPHB2,0.32484362,0.36878333333333335,0.07523986,0.10683333333333334,0.014975919,0.0,0.029812206,0.56501126
