source,target,ligand_complex,receptor_complex,magnitude_rank,specificity_rank
Fibroblast,Ovarian.cancer.cell,COL1A1,DDR1,1.378427664453943e-07,0.004636388637403003
Fibroblast,Endothelial.cell,SPARC,ENG,6.750951115688617e-06,0.015450619906077436
Endothelial.cell,Endothelial.cell,SPARC,ENG,8.81684145375168e-06,0.017872680129738423
Fibroblast,Monocyte,COL1A1,DDR1,1.1157891913848967e-05,0.02430152505505632
Fibroblast,Fibroblast,COL1A1,DDR1,1.9831341786829562e-05,0.026399171664734374
Fibroblast,Endothelial.cell,COL1A1,DDR1,2.3272358321121177e-05,0.027897294546151103
Fibroblast,Monocyte,COL1A1,CD44,2.698819919314443e-05,5.716408804728707e-05
Fibroblast,Endothelial.cell,COL1A1,CD93,3.09787930507542e-05,3.4769646636111185e-05
Fibroblast,Ovarian.cancer.cell,COL3A1,DDR1,3.09787930507542e-05,0.00372314453125
Fibroblast,Fibroblast,SPARC,ENG,3.524407164927616e-05,0.02430152505505632
Fibroblast,Monocyte,COL1A2,CD44,5.505065821103438e-05,0.00035188492042232284
Endothelial.cell,Fibroblast,SPARC,ENG,5.505065821103438e-05,0.02430152505505632
Endothelial.cell,Monocyte,APP,CD74,6.06883417599602e-05,0.001398680930555779
Fibroblast,Endothelial.cell,COL1A2,CD93,6.06883417599602e-05,0.00021414457677284017
Monocyte,Ovarian.cancer.cell,S100A4,ERBB2,0.0002423320247037514,0.02430152505505632
Fibroblast,Monocyte,APP,CD74,0.0002659167130496027,0.0066477042424620296
Endothelial.cell,Ovarian.cancer.cell,COL1A1,DDR1,0.0003296496047217569,0.259539482288287
Fibroblast,Monocyte,COL3A1,DDR1,0.00040019165491863293,0.02430152505505632
Fibroblast,Fibroblast,COL3A1,DDR1,0.000561668906478286,0.02430152505505632
Fibroblast,Endothelial.cell,COL3A1,DDR1,0.0005793101513146312,0.02430152505505632
