,"(0, 8]","(8, 16]","(16, 24]","(24, 32]","(32, 48]","(48, 64]","(64, 96]","(96, 1000]",boundary_over_interior
SPARC->ENG,0.529,0.608,0.633,0.481,0.339,0.218,0.149,0.064,3.96
MDK->TSPAN1,0.059,0.074,0.082,0.101,0.113,0.131,0.123,0.094,0.57
LAMA5->BCAM,0.024,0.05,0.052,0.068,0.087,0.102,0.117,0.129,0.32
FN1->SDC2,0.226,0.187,0.19,0.165,0.166,0.131,0.116,0.053,2.06
FN1->ITGA9,0.144,0.176,0.205,0.189,0.175,0.137,0.112,0.053,1.59
MDK->SDC4,0.027,0.036,0.049,0.062,0.078,0.098,0.098,0.073,0.35
SPINT1->ST14,0.045,0.029,0.034,0.044,0.057,0.077,0.087,0.086,0.44
VIM->CD44,0.256,0.251,0.216,0.184,0.131,0.062,0.065,0.05,4.3
SPP1->CD44,0.508,0.416,0.255,0.147,0.09,0.046,0.044,0.06,9.24
VWF->ITGA9,0.166,0.183,0.229,0.167,0.124,0.083,0.041,0.023,3.56
COL6A2->CD44,0.159,0.208,0.185,0.139,0.112,0.061,0.064,0.036,3.42
SEMA4D->ERBB2,0.006,0.029,0.033,0.04,0.052,0.071,0.073,0.068,0.25
FN1->CD44,0.267,0.225,0.172,0.142,0.105,0.059,0.069,0.052,4.1
MDK->SORL1,0.016,0.04,0.044,0.053,0.06,0.066,0.063,0.052,0.46
APOA1->LDLR,0.044,0.044,0.068,0.073,0.097,0.113,0.109,0.107,0.4
