source,target,ligand_complex,receptor_complex,rank_all,rank_interior,rank_all_pos,rank_int_pos
Fibroblast,Ovarian.cancer.cell,COL1A1,DDR1,1.378427664453943e-07,2.4311768088306136e-07,1,1.0
Fibroblast,Endothelial.cell,SPARC,ENG,6.750951115688617e-06,3.888604028465531e-06,2,2.0
Endothelial.cell,Endothelial.cell,SPARC,ENG,8.81684145375168e-06,8.747440249425717e-06,3,3.0
Fibroblast,Monocyte,COL1A1,DDR1,1.1157891913848967e-05,0.0011488574879675484,4,20.0
Fibroblast,Fibroblast,COL1A1,DDR1,1.9831341786829562e-05,0.00028002762859111256,5,11.0
Fibroblast,Endothelial.cell,COL1A1,DDR1,2.3272358321121177e-05,0.000406889282549491,6,13.0
Fibroblast,Monocyte,COL1A1,CD44,2.698819919314443e-05,5.461754941851052e-05,7,6.0
Fibroblast,Endothelial.cell,COL1A1,CD93,3.09787930507542e-05,2.938499706037646e-05,8,4.0
Fibroblast,Ovarian.cancer.cell,COL3A1,DDR1,3.09787930507542e-05,3.4966741417798775e-05,9,5.0
Fibroblast,Fibroblast,SPARC,ENG,3.524407164927616e-05,7.862337413526305e-05,10,7.0
Fibroblast,Monocyte,COL1A2,CD44,5.505065821103438e-05,0.00026382668246651683,11,10.0
Endothelial.cell,Fibroblast,SPARC,ENG,5.505065821103438e-05,0.00017672778686944515,12,8.0
Endothelial.cell,Monocyte,APP,CD74,6.06883417599602e-05,0.0007310787769115696,13,15.0
Fibroblast,Endothelial.cell,COL1A2,CD93,6.06883417599602e-05,0.00020383458068517953,14,9.0
Monocyte,Ovarian.cancer.cell,S100A4,ERBB2,0.0002423320247037514,0.001659787046693702,15,27.0
Fibroblast,Monocyte,APP,CD74,0.0002659167130496027,0.001216154662418544,16,21.0
Endothelial.cell,Ovarian.cancer.cell,COL1A1,DDR1,0.0003296496047217569,0.00029670947519017403,17,12.0
Fibroblast,Monocyte,COL3A1,DDR1,0.00040019165491863293,0.002959343051134705,18,29.0
Fibroblast,Fibroblast,COL3A1,DDR1,0.000561668906478286,0.0010834615368927128,19,19.0
Fibroblast,Endothelial.cell,COL3A1,DDR1,0.0005793101513146312,0.001356446610009277,20,22.0
Monocyte,Ovarian.cancer.cell,APOE,LRP6,0.0005972225333556385,0.0007048134882590203,21,14.0
Ovarian.cancer.cell,Monocyte,APP,CD74,0.0006154062539430172,0.0025013993213767838,22,28.0
Ovarian.cancer.cell,Ovarian.cancer.cell,S100A4,ERBB2,0.0006154062539430172,0.0007578215610808878,23,16.0
Ovarian.cancer.cell,Endothelial.cell,SPON1,APP,0.0006338611110594159,0.001620212073497444,24,25.0
Monocyte,Fibroblast,APOE,LRP1,0.000652587036459968,0.0008695646194641512,25,17.0
Fibroblast,Monocyte,SPARC,ENG,0.0007912525374550463,0.0013927057424493968,26,23.0
Monocyte,Monocyte,APOE,LRP1,0.0008333068569155452,0.0013927057424493968,27,23.0
Monocyte,Ovarian.cancer.cell,APOE,SORL1,0.0008764428759183282,0.0010199678947061435,28,18.0
Monocyte,Monocyte,APP,CD74,0.0009206598923082217,0.005380826328131961,29,30.0
Endothelial.cell,Monocyte,SPARC,ENG,0.0009206598923082217,0.001620212073497444,30,25.0
