,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MT-ND4,344669.21729662374,0.1698003765325788,0.001940030070942551,87.52461061084604,0.0,0.0
NONO,20785.685758913583,0.3566594693450209,0.006159947086190559,57.89976185746534,0.0,0.0
YWHAQ,16837.930320145984,0.3233600124581843,0.007245369821209121,44.62988369642964,0.0,0.0
PRDX6,8572.213989711681,0.4680906807833868,0.009463047044740667,49.46511187889954,0.0,0.0
HMGN1,22129.583033908326,0.37549074916660596,0.006099185254855982,61.564083312218116,0.0,0.0
CALM2,12163.750773168294,0.33700576469832666,0.008144755273198589,41.37702771835139,0.0,0.0
EDF1,12815.403917117157,0.3438570020012966,0.007899081074572198,43.531266327699946,0.0,0.0
ACTB,180133.04406289937,0.26244805906613744,0.0024745225599702957,106.06007935093866,0.0,0.0
MT-CO1,759952.3988414614,0.19657941436349521,0.001475276532764062,133.24919769121942,0.0,0.0
ZNF706,4034.0600601234664,0.5580208158561651,0.014929567223243524,37.376891607909066,9.27633747320382e-306,1.2208587748483546e-302
TOMM6,8116.01531265921,0.36055773562998183,0.009752056411343581,36.97248256383971,3.170894895883312e-299,3.793831611338206e-296
ILF2,11518.716478732478,0.29788310532186973,0.008275964498672564,35.9937630676943,1.047267105189645e-283,1.1485901976167432e-280
HNRNPM,11967.596788554478,0.29371238711160635,0.008338094483734668,35.225360864470716,8.180549512653093e-272,8.281862472002105e-269
PHYH,15953.86937484786,0.27964014294206596,0.00795012771679617,35.17429567216542,4.943673227887137e-271,4.647405953730186e-268
CD63,42872.7473085593,0.16434561328844327,0.004714591523375324,34.85892944778026,3.118124410964984e-266,2.735842358180677e-263
MT-ND6,38785.242308199755,-0.19679365762550832,0.005656978494781893,-34.787768383251695,3.7238321592975197e-265,3.063084690532166e-262
YWHAH,4932.791887923133,0.43771054188263153,0.012834036393212147,34.105446522976536,6.124830792349344e-255,4.74169988577116e-252
SPARC,69713.87490794742,0.12023432945912257,0.0038236567324948984,31.444854460214806,4.935695777776384e-217,3.608816229517499e-214
DDX5,19971.567442661362,0.21328497854039163,0.006851240932226166,31.130853614731834,9.212686063841343e-213,6.381482172958733e-210
EIF4B,11002.904490184677,0.2648185287744391,0.008614592792257913,30.740690263669368,1.6285032374840043e-207,1.071636555426349e-204
