sample,depth,block,cell_type,n_cells
deep_S00_Ovarian.cancer.cell,deep,S00,Ovarian.cancer.cell,12723
deep_S00_Fibroblast,deep,S00,Fibroblast,1729
deep_S01_Ovarian.cancer.cell,deep,S01,Ovarian.cancer.cell,24853
deep_S01_Fibroblast,deep,S01,Fibroblast,4508
deep_S10_Ovarian.cancer.cell,deep,S10,Ovarian.cancer.cell,20953
deep_S10_Fibroblast,deep,S10,Fibroblast,1419
deep_S11_Ovarian.cancer.cell,deep,S11,Ovarian.cancer.cell,18119
deep_S11_Fibroblast,deep,S11,Fibroblast,4192
deep_S20_Ovarian.cancer.cell,deep,S20,Ovarian.cancer.cell,22738
deep_S20_Fibroblast,deep,S20,Fibroblast,1574
deep_S21_Ovarian.cancer.cell,deep,S21,Ovarian.cancer.cell,19113
deep_S21_Fibroblast,deep,S21,Fibroblast,1373
deep_S30_Ovarian.cancer.cell,deep,S30,Ovarian.cancer.cell,26164
deep_S30_Fibroblast,deep,S30,Fibroblast,1535
deep_S31_Ovarian.cancer.cell,deep,S31,Ovarian.cancer.cell,15345
deep_S31_Fibroblast,deep,S31,Fibroblast,1553
min_S00_Ovarian.cancer.cell,min,S00,Ovarian.cancer.cell,12723
min_S00_Fibroblast,min,S00,Fibroblast,1729
min_S01_Ovarian.cancer.cell,min,S01,Ovarian.cancer.cell,24853
min_S01_Fibroblast,min,S01,Fibroblast,4508
min_S10_Ovarian.cancer.cell,min,S10,Ovarian.cancer.cell,20953
min_S10_Fibroblast,min,S10,Fibroblast,1419
min_S11_Ovarian.cancer.cell,min,S11,Ovarian.cancer.cell,18119
min_S11_Fibroblast,min,S11,Fibroblast,4192
min_S20_Ovarian.cancer.cell,min,S20,Ovarian.cancer.cell,22738
min_S20_Fibroblast,min,S20,Fibroblast,1574
min_S21_Ovarian.cancer.cell,min,S21,Ovarian.cancer.cell,19113
min_S21_Fibroblast,min,S21,Fibroblast,1373
min_S30_Ovarian.cancer.cell,min,S30,Ovarian.cancer.cell,26164
min_S30_Fibroblast,min,S30,Fibroblast,1535
min_S31_Ovarian.cancer.cell,min,S31,Ovarian.cancer.cell,15345
min_S31_Fibroblast,min,S31,Fibroblast,1553
