,n,median_edge_dist,frac_edge_cells,median_meas_umi,median_true_umi,tag
9,367,23.7,0.23,3390.0,3143.0,measured
6,117,25.29,0.2,1419.0,1866.0,measured
7,333,29.83,0.18,3076.0,4218.0,measured
1,1085,38.07,0.17,2557.0,3000.0,measured
5,146,32.23,0.16,1070.5,2262.0,measured
3,682,37.49,0.16,3389.0,4049.5,measured
0,811,33.21,0.15,2808.0,3515.0,measured
2,671,44.5,0.14,2647.0,2638.0,measured
8,427,35.14,0.13,1462.0,2362.0,measured
4,600,42.79,0.12,3346.5,4075.0,measured
4,390,27.97,0.22,2870.5,4286.0,true
8,102,30.52,0.21,909.5,2313.0,true
3,1136,37.02,0.17,3481.5,4211.0,true
1,733,31.02,0.17,2916.0,3941.0,true
0,640,39.9,0.16,2547.0,2757.0,true
5,909,36.91,0.16,2248.0,1658.0,true
9,236,36.08,0.14,1236.0,2095.5,true
7,95,36.95,0.13,1122.0,2387.0,true
2,418,35.31,0.12,2585.5,3427.0,true
6,580,42.88,0.12,3352.5,4113.5,true
