organoid,diam_um,cx,cy,row,gap_um,nn_center_dist_um,nn_edge_gap_um
ORG08,300,450.0,450.0,0,120,391.0,121.0
ORG17,300,870.0,450.0,0,120,390.0,120.0
ORG23,300,1290.0,450.0,0,120,390.0,120.0
ORG06,280,1700.0,440.0,0,120,381.0,141.0
ORG07,280,2100.0,440.0,0,120,381.0,141.0
ORG20,280,2500.0,440.0,0,120,381.0,141.0
ORG16,240,420.0,840.0,1,200,391.0,121.0
ORG02,240,860.0,840.0,1,200,390.0,120.0
ORG18,240,1300.0,840.0,1,200,390.0,120.0
ORG10,200,1720.0,820.0,1,200,381.0,141.0
ORG01,200,2120.0,820.0,1,200,381.0,141.0
ORG14,200,2520.0,820.0,1,200,381.0,141.0
ORG15,180,390.0,1250.0,2,300,411.0,201.0
ORG09,180,870.0,1250.0,2,300,410.0,200.0
ORG04,180,1350.0,1250.0,2,300,413.0,203.0
ORG00,150,1815.0,1235.0,2,300,426.0,251.0
ORG03,150,2265.0,1235.0,2,300,440.0,265.0
ORG05,150,2715.0,1235.0,2,300,450.0,300.0
ORG21,120,360.0,1700.0,3,450,451.0,301.0
ORG19,120,930.0,1700.0,3,450,454.0,304.0
ORG22,120,1500.0,1700.0,3,450,474.0,324.0
ORG12,100,2060.0,1690.0,3,450,499.0,374.0
ORG11,100,2610.0,1690.0,3,450,467.0,342.0
ORG13,100,3160.0,1690.0,3,450,550.0,450.0
