organoid,true_diam,measured_diam,diff_um
ORG08,300,207.6,-92.4
ORG17,300,317.9,17.9
ORG23,300,242.6,-57.4
ORG06,280,272.8,-7.2
ORG07,280,287.3,7.3
ORG20,280,286.0,6.0
ORG16,240,250.3,10.3
ORG02,240,261.9,21.9
ORG18,240,213.0,-27.0
ORG10,200,208.6,8.6
ORG01,200,200.0,0.0
ORG14,200,193.6,-6.4
ORG15,180,175.0,-5.0
ORG09,180,194.7,14.7
ORG04,180,167.9,-12.1
ORG00,150,159.2,9.2
ORG03,150,168.9,18.9
ORG05,150,150.0,0.0
ORG21,120,138.4,18.4
ORG19,120,129.2,9.2
ORG22,120,141.9,21.9
ORG12,100,120.4,20.4
ORG11,100,103.3,3.3
ORG13,100,124.1,24.1
