organoid,diam_um,n_cells,emitted,collected_in_disc,own_signal_kept,loss_frac,foreign_frac_in_disc
ORG08,300,296,637355.0,615732.0,615732.0,0.0339,0.0
ORG17,300,614,2823850.0,2749149.0,2749149.0,0.0265,0.0
ORG23,300,276,955583.0,925640.0,925640.0,0.0313,0.0
ORG06,280,392,1718728.0,1668707.0,1668707.0,0.0291,0.0
ORG07,280,395,1435733.0,1400233.0,1400233.0,0.0247,0.0
ORG20,280,450,1552515.0,1512710.0,1512710.0,0.0256,0.0
ORG16,240,285,1476940.0,1426213.0,1426213.0,0.0343,0.0
ORG02,240,296,1596577.0,1518492.0,1518492.0,0.0489,0.0
ORG18,240,216,617855.0,597022.0,597022.0,0.0337,0.0
ORG10,200,173,616401.0,595541.0,595541.0,0.0338,0.0
ORG01,200,209,656927.0,623827.0,623827.0,0.0504,0.0
ORG14,200,242,849642.0,826187.0,826187.0,0.0276,0.0
ORG15,180,113,438753.0,427692.0,427692.0,0.0252,0.0
ORG09,180,250,819840.0,788511.0,788511.0,0.0382,0.0
ORG04,180,168,303701.0,288828.0,288828.0,0.049,0.0
ORG00,150,118,402764.0,381951.0,381951.0,0.0517,0.0
ORG03,150,126,530297.0,495088.0,495088.0,0.0664,0.0
ORG05,150,105,497373.0,474193.0,474193.0,0.0466,0.0
ORG21,120,123,291098.0,260897.0,260897.0,0.1037,0.0
ORG19,120,74,324121.0,299241.0,299241.0,0.0768,0.0
ORG22,120,127,436418.0,398372.0,398372.0,0.0872,0.0
ORG12,100,64,309846.0,286044.0,286044.0,0.0768,0.0
ORG11,100,62,217930.0,205066.0,205066.0,0.059,0.0
ORG13,100,65,313670.0,283289.0,283289.0,0.0969,0.0
