id,diam_um,n_cells,tumour_frac,total_umi,median_umi_per_cell
ORG00,150,118,0.822,402764,3097
ORG01,200,209,0.986,656927,2739
ORG02,240,296,0.959,1596577,4763
ORG03,150,126,0.968,530297,3844
ORG04,180,168,0.964,303701,1210
ORG05,150,105,0.952,497373,4158
ORG06,280,392,0.967,1718728,3857
ORG07,280,395,0.967,1435733,3158
ORG08,300,296,0.929,637355,1793
ORG09,180,250,0.84,819840,3019
ORG10,200,173,0.861,616401,3075
ORG11,100,62,1.0,217930,3254
ORG12,100,64,1.0,309846,4267
ORG13,100,65,0.8,313670,4074
ORG14,200,242,0.855,849642,2786
ORG15,180,113,0.92,438753,2740
ORG16,240,285,0.933,1476940,4435
ORG17,300,614,0.984,2823850,4091
ORG18,240,216,0.889,617855,2538
ORG19,120,74,0.946,324121,4102
ORG20,280,450,0.847,1552515,2964
ORG21,120,123,0.992,291098,1990
ORG22,120,127,1.0,436418,3163
ORG23,300,276,0.801,955583,3047
