,K0,K1,tumour_all,reference
chr1,0.0072,0.0047,0.0062,0.0014
chr2,0.0016,0.0023,0.0019,0.0024
chr3,0.0014,0.0022,0.0017,0.0024
chr4,0.0002,0.0014,0.0007,0.0022
chr5,-0.0024,-0.001,-0.0018,0.0026
chr6,0.0074,0.0058,0.0067,0.001
chr7,0.0053,0.0051,0.0052,0.0018
chr8,0.0,0.0013,0.0006,0.0032
chr9,-0.0002,0.0004,0.0,0.0028
chr10,0.0024,0.0027,0.0025,0.002
chr11,-0.0003,0.0005,-0.0,0.002
chr12,0.0141,0.0089,0.012,0.0009
chr13,-0.0032,-0.0015,-0.0025,0.0023
chr14,0.003,0.0026,0.0029,0.0012
chr15,-0.0008,-0.0006,-0.0007,0.0028
chr16,0.0,0.0007,0.0003,0.0019
chr17,0.0017,0.0022,0.0019,0.0013
chr18,-0.0005,0.0004,-1e-04,0.0018
chr19,0.0247,0.0095,0.0187,-0.0
chr20,0.0105,0.008,0.0095,0.0003
chr21,-0.0016,-0.0014,-0.0015,0.0023
chr22,0.0004,0.0004,0.0004,0.0024
