chromosome,n_windows,tumour_mean,reference_mean
chr1,164,0.0062,0.0014
chr2,94,0.0019,0.0024
chr3,79,0.0017,0.0024
chr4,47,0.0007,0.0022
chr5,60,-0.0018,0.0026
chr6,71,0.0067,0.001
chr7,62,0.0052,0.0018
chr8,40,0.0006,0.0032
chr9,49,0.0,0.0028
chr10,47,0.0025,0.002
chr11,93,-0.0,0.002
chr12,73,0.012,0.0009
chr13,10,-0.0025,0.0023
chr14,37,0.0029,0.0012
chr15,32,-0.0007,0.0028
chr16,54,0.0003,0.0019
chr17,82,0.0019,0.0013
chr18,5,-0.0001,0.0018
chr19,108,0.0187,-0.0
chr20,30,0.0095,0.0003
chr21,1,-0.0015,0.0023
chr22,20,0.0004,0.0024
